LKQ code;IC - konkurenční kód;Název;oe;Typ auta;Výskyt registrovaných aut na trhu;EAN;Odhad prodeje 2026
ST-ABG74580-2R;6502-07-2950918P;P mřížka do nárazníku;71105T7JH00;HONDA | HR-V (GH_) [03\99-12\06] | 1.6 16V (GH1, GH3) (1590ccm\77kW\105HP) [03\99-];2279;HD99092CAR;46
ST-ABG78290;6502-07-3296910P;mřížka do nárazníku;86569F1500;KIA | SPORTAGE IV (QL, QLE) [01\15-10\22] | 1.6 CRDi (1598ccm\100kW\136HP) [07\18-09\22];5985;KA07139GA;144
ST-ABG84101-1L;5513-00-1605911P;L mřížka do nárazníku;622576PA0A;NISSAN | JUKE (F16_) [08\19-] | 1.0 (999ccm\84kW\114HP) [08\19-];20;16-9712L;1
ST-ABG84101-1R;5513-00-1605912P;P mřížka do nárazníku;622566PA0A;NISSAN | JUKE (F16_) [08\19-] | 1.0 (999ccm\84kW\114HP) [08\19-];20;16-9712R;1
ST-ABG84101-L;5513-00-1605913P;L mřížka předního nárazníku;622576PA0B;NISSAN | JUKE (F16_) [08\19-] | 1.0 (999ccm\84kW\114HP) [08\19-];20;DS0JKC-323BL;1
ST-ABG84101-R;5513-00-1605914P;P mřížka předního nárazníku;622566PA0B;NISSAN | JUKE (F16_) [08\19-] | 1.0 (999ccm\84kW\114HP) [08\19-];20;DS0JKC-323BR;1
ST-ABG84490-R;5513-00-1617916P;P mřížka předního nárazníku;62256HV10B;NISSAN | QASHQAI II (J11, J11_) [11\13-] | 1.2 DIG-T (1197ccm\85kW\115HP) [11\13-];14586;DS0514-008AR;408
ST-ABG89100;6502-07-7706910P;střední mřížka předního nárazníku;149375900A;TESLA | MODEL Y (5YJY) [03\19-] | EV (ccm\188kW\256HP) [02\23-];78;TL07002GA;1
ST-ABG90101;6502-07-8156910P;mřížka do nárazníku;531020D120;TOYOTA | YARIS (_P13_) [12\10-06\20] | 1.0 (KSP130) (998ccm\53kW\72HP) [06\18-06\20];11272;TY07734GA;316
ST-ABG90101-1L;6502-07-8156931P;L mřížka do nárazníku;814820D320;TOYOTA | YARIS (_P13_) [12\10-06\20] | 1.0 (KSP130) (998ccm\53kW\72HP) [06\18-06\20];12224;TY0029-323CL;342
ST-ABG90101-1R;6502-07-8156932P;P mřížka do nárazníku;814810D340;TOYOTA | YARIS (_P13_) [12\10-06\20] | 1.0 (KSP130) (998ccm\53kW\72HP) [06\18-06\20];12232;TY0029-323CR;342
ST-ABG90101-L;6502-07-8156929P;L mřížka předního nárazníku;814820D340;TOYOTA | YARIS (_P13_) [12\10-06\20] | 1.0 (KSP130) (998ccm\53kW\72HP) [06\18-06\20];12133;TY0029-323BL;340
ST-ABG90101-R;6502-07-8156930P;P mřížka předního nárazníku;814810D360;TOYOTA | YARIS (_P13_) [12\10-06\20] | 1.0 (KSP130) (998ccm\53kW\72HP) [06\18-06\20];12133;TY0029-323BR;340
ST-ABG90109;6502-07-8158920P;mřížka do nárazníku;53112K0010;TOYOTA | YARIS (_P21_, _PA1_, _PH1_) [02\20-] | 1.0 (KSP211) (998ccm\53kW\72HP) [02\20-];660;TY07877GA;11
ST-ABG90113-R;5513-00-8168921P;P mřížka předního nárazníku;521270DF50;TOYOTA | YARIS CROSS (MXP_) [09\20-] | 1.5 (MXPB10) (1490ccm\92kW\125HP) [09\20-];402;TY014000G-BR00;3
ST-ABG90170-1;6502-07-8182910SP;mřížka do nárazníku;52129F4130;TOYOTA | C-HR (NGX1, NGX5_, ZYX1_) [10\16-] | 1.2 (NGX10_, NGX10R) (1197ccm\85kW\116HP) [10\16-];3374;TY07807GB;67
ST-ABG90170-2;6502-07-8182910PP;střední mřížka předního nárazníku;52129F4140;TOYOTA | C-HR (NGX1, NGX5_, ZYX1_) [10\16-] | 1.2 (NGX10_, NGX10R) (1197ccm\85kW\116HP) [10\16-];3374;NBJ70-23224;67
ST-ABG90490;6502-07-8189990P;střední mřížka předního nárazníku;5311247240;TOYOTA | PRIUS (_W5_) [09\15-12\22] | 1.8 Hybrid (ZVW50, ZVW50_, ZVW51_, ZVW50R, ZVW51) (1798ccm\90kW\122HP) [09\15-12\22];0;TY07664GA;0
ST-ABG90770-1;6502-07-8157910P;mřížka do nárazníku;531020D040;TOYOTA | YARIS (_P13_) [12\10-06\20] | 1.0 (KSP130_, KSP130) (998ccm\51kW\69HP) [12\10-06\20];12136;TY07613GA;340
ST-ABG90950-2;6502-07-8199995P;mřížka do nárazníku;5310247010;TOYOTA | PRIUS (_W3_) [06\08-06\16] | 1.8 Hybrid (ZVW30) (1798ccm\100kW\136HP) [06\08-06\16];94;TY07506GB;1
ST-ABH14560-L;6802-00-0063451P;L pant kapoty;41617286343;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];4774;UBA08-18111;48
ST-ABH14560-R;6802-00-0063452P;P pant kapoty;41617286344;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];4774;UBA08-18112;48
ST-ABH20290-L;6802-00-2566451P;L pant kapoty;2088341;FORD | FIESTA VII (HJ, HF) [05\17-] | 1.0 EcoBoost (998ccm\103kW\140HP) [06\17-];2329;UFC09-18111;47
ST-ABH20290-R;6802-00-2566452P;P pant kapoty;2087959;FORD | FIESTA VII (HJ, HF) [05\17-] | 1.0 EcoBoost (998ccm\103kW\140HP) [06\17-];2329;UFC09-18112;47
ST-ABH28770-L;6802-00-3518451P;L pant kapoty;2048800728;MERCEDES-BENZ | C-CLASS (W204) [01\07-01\15] | C 180 CDI (204.000) (2143ccm\88kW\120HP) [04\10-03\14];2724;BZ21024AL;27
ST-ABH28790-L;6802-00-3529451P;L pant kapoty;2048800128;MERCEDES-BENZ | E-CLASS (W212) [01\09-12\16] | E 180 (212.040) (1595ccm\115kW\156HP) [08\13-12\15];2460;BZ21029AL;25
ST-ABH28790-R;6802-00-3529452P;P pant kapoty;2048800228;MERCEDES-BENZ | E-CLASS (W212) [01\09-12\16] | E 180 (212.040) (1595ccm\115kW\156HP) [08\13-12\15];2460;BZ21029AR;25
ST-ABH36880-L;6802-00-6009451P;L závěs kapoty motoru;654010075R;RENAULT | CAPTUR I (J5_, H5_) [06\13-] | 0.9 TCe 90 (898ccm\66kW\90HP) [06\13-];10677;RN21039AL;299
ST-ABH36880-R;6802-00-6009452P;P závěs kapoty motoru;654001543R;RENAULT | CAPTUR I (J5_, H5_) [06\13-] | 0.9 TCe 90 (898ccm\66kW\90HP) [06\13-];10677;RN21039AR;299
ST-ABH42104-L;6802-00-9546451P;L závěs kapoty motoru;2K5823301;VOLKSWAGEN | CADDY ALLTRACK combi (SAB) [05\15-09\20] | 1.0 TSI (999ccm\62kW\84HP) [11\18-07\19];6806;VG21073AL;163
ST-ABH42104-R;6802-00-9546452P;P závěs kapoty motoru;2K5823302;VOLKSWAGEN | CADDY ALLTRACK combi (SAB) [05\15-09\20] | 1.0 TSI (999ccm\62kW\84HP) [11\18-07\19];6806;VG21073AR;163
ST-ABM12330-6;5506-00-0026954Q;zadní nárazník;8P3807303DGRU;AUDI | A3 (8P1) [05\03-12\13] | 1.4 TFSI (1390ccm\92kW\125HP) [09\07-08\12];3513;AU0700870-2000;35
ST-ABM12350;5510-00-0039900Q;nárazník;8Y0807065GRU;AUDI | A3 Limousine (8YS, 8YM) [03\20-] | 30 TDI (1968ccm\85kW\116HP) [06\20-];74;AD04115BA;1
ST-ABM12350-1;5510-00-0039902P;přední nárazník;8Y0807065BGRU;AUDI | A3 Limousine (8YS, 8YM) [03\20-] | 30 TDI (1968ccm\85kW\116HP) [06\20-];74;AD04116BA;1
ST-ABM12350-2;5510-00-0039903P;nárazník;8Y0807065AGRU;AUDI | A3 Limousine (8YS, 8YM) [03\20-] | 30 TDI (1968ccm\85kW\116HP) [06\20-];74;AD04116BB;1
ST-ABM12350-3;5506-00-0039950P;nárazník;8Y4807067GRU;AUDI | A3 Sportback (8YA, 8YF) [11\19-] | 30 g-tron (1498ccm\96kW\131HP) [07\20-];54;AD04117BA;1
ST-ABM12350-4;5506-00-0039951P;nárazník;8Y4807067AGRU;AUDI | A3 Sportback (8YA, 8YF) [11\19-] | 30 g-tron (1498ccm\96kW\131HP) [07\20-];54;AD04117BB;1
ST-ABM12350-5;5506-00-0039952P;nárazník;8Y4807067BGRU;AUDI | A3 Sportback (8YA, 8YF) [11\19-] | 30 g-tron (1498ccm\96kW\131HP) [07\20-];99;AD04117BC;1
ST-ABM12430-1;5510-00-0047900P;nárazník;8XA807065;AUDI | A1 (8X1, 8XK) [05\10-09\19] | 1.0 TFSI (999ccm\60kW\82HP) [01\16-10\18];2819;AD04061BA;28
ST-ABM12640-14;5510-00-0027908P;přední nárazník;8V5807065A;AUDI | A3 cabrio (8V7, 8VE) [10\13-04\21] | 1.4 TFSI (1395ccm\103kW\140HP) [10\13-05\14];1757;UAG04-23210;14
ST-ABM12640-15;5510-00-0027901P;nárazník;8V5807065GRU;AUDI | A3 cabrio (8V7, 8VE) [10\13-04\21] | 1.4 TFSI (1395ccm\103kW\140HP) [10\13-05\14];1722;AD04058BB;14
ST-ABM12640-16;5510-00-0027909P;přední nárazník;8V5807065C;AUDI | A3 cabrio (8V7, 8VE) [10\13-04\21] | 1.4 TFSI (1395ccm\103kW\140HP) [10\13-05\14];1722;UAG04-23220;14
ST-ABM12680-10;5510-00-0030906P;nárazník;8W0807065K;AUDI | A4 Allroad B9 (8WH, 8WJ) [01\16-] | 2.0 TDI quattro (1968ccm\100kW\136HP) [11\16-07\18];4248;AD04073BC;42
ST-ABM12700-L;6502-07-0046991Q;nárazník;81A807107BGRU;AUDI | Q2 (GAB, GAG) [06\16-] | 1.0 TFSI (999ccm\85kW\115HP) [10\16-10\20];308;AD04086PAL;1
ST-ABM12700-R;6502-07-0046992Q;P nárazník;81A807108BGRU;AUDI | Q2 (GAB, GAG) [06\16-] | 1.0 TFSI (999ccm\85kW\115HP) [10\16-10\20];313;AD04086PAR;1
ST-ABM12710-2;5506-00-0036951P;nárazník;80A807067A;AUDI | Q5 (FYB, FYG) [05\16-] | 2.0 TDI (1968ccm\100kW\136HP) [01\17-11\20];445;AD04089BD;2
ST-ABM12740-6;5510-00-0037903PP;přední nárazník;8V0807065AEGRU;AUDI | A3 (8V1, 8VK) [04\12-10\20] | 1.0 TFSI (999ccm\85kW\115HP) [07\16-12\17];1552;AD04075BC;12
ST-ABM12750;5510-00-0043900P;nárazník;4K0807065GRU;AUDI | A6 C8 (4A2) [02\18-] | 30 TDI Mild Hybrid (1968ccm\100kW\136HP) [01\19-];894;AD04109BA;7
ST-ABM12760;5510-00-0047954P;zadní nárazník;82A807067BGRU;AUDI | A1 Sportback (GBA) [07\18-] | 25 TFSI (999ccm\70kW\95HP) [11\18-];41;AD04103BC;1
ST-ABM12760-1;5510-00-0047906P;nárazník;82A807065CGRU;AUDI | A1 Sportback (GBA) [07\18-] | 25 TFSI (999ccm\70kW\95HP) [11\18-];41;AD04102BD;1
ST-ABM12760-2;5510-00-0047953P;nárazník;82A807067AGRU;AUDI | A1 CITY CARVER (GBH) [07\19-06\22] | 25 TFSI (999ccm\70kW\95HP) [07\19-06\22];54;AD04103BB;1
ST-ABM12760-3;5510-00-0047952P;nárazník;82A807067GRU;AUDI | A1 CITY CARVER (GBH) [07\19-06\22] | 25 TFSI (999ccm\70kW\95HP) [07\19-06\22];54;AD04103BA;1
ST-ABM12760-4;5510-00-0047907P;nárazník;82A807065DGRU;AUDI | A1 CITY CARVER (GBH) [07\19-06\22] | 25 TFSI (999ccm\70kW\95HP) [07\19-06\22];48;AD04102BE;1
ST-ABM12780-1L;5510-00-0044903SP;nárazník;83A807107FGRU;AUDI | Q3 (F3B) [07\18-] | 35 TDI (1968ccm\110kW\150HP) [09\18-];224;AD04113PAL;1
ST-ABM12780-1R;5510-00-0044904SP;P nárazník;83A807108FGRU;AUDI | Q3 (F3B) [07\18-] | 2.5 RS TFSI quattro (2480ccm\294kW\400HP) [10\19-];464;AD04113PAR;2
ST-ABM12780-L;5510-00-0044901P;nárazník;83A807107GRU;AUDI | Q3 (F3B) [07\18-] | 35 TDI (1968ccm\110kW\150HP) [09\18-];224;AD04104PAL;1
ST-ABM12780-R;5510-00-0044902P;P nárazník;83A807108GRU;AUDI | Q3 (F3B) [07\18-] | 35 TDI (1968ccm\110kW\150HP) [09\18-];224;AD04104PAR;1
ST-ABM12820;5510-00-0030908PP;nárazník;8W0807065ATGRU;AUDI | A4 Allroad B9 (8WH, 8WJ) [01\16-] | 2.0 TDI quattro (1968ccm\140kW\190HP) [01\16-];906;AD04106BC;7
ST-ABM12830;5510-00-0048900P;nárazník;80A807065GRU;AUDI | Q5 (FYB, FYG) [05\16-] | 2.0 TDI (1968ccm\100kW\136HP) [01\17-11\20];552;AD04118BB;4
ST-ABM12830-1;5506-00-0048951P;nárazník;80A807527AGRU;AUDI | Q5 (FYB, FYG) [05\16-] | 2.0 TDI (1968ccm\100kW\136HP) [01\17-11\20];451;AD04119BA;2
ST-ABM12840;5510-00-0046901P;nárazník;81A807065AGRU;AUDI | Q2 (GAB, GAG) [06\16-] | 1.4 TFSI (1395ccm\110kW\150HP) [06\16-08\18];254;AD04120BB;1
ST-ABM14420-13;5510-00-0067903P;přední nárazník;51 11 7 285 961;BMW | 5 (F10) [01\09-10\16] | 518 d (1995ccm\105kW\143HP) [07\13-06\14];5781;BM5410000-3000;69
ST-ABM14420-14;5510-00-0067904P;nárazník;51117332677;BMW | 5 (F10) [01\09-10\16] | 518 d (1995ccm\100kW\136HP) [07\13-10\16];5000;UBC06-23510;60
ST-ABM14420-15;5506-00-0067951P;nárazník;51128048594;BMW | 5 (F10) [01\09-10\16] | 520 d (1995ccm\135kW\184HP) [06\10-06\14];1973;33-8513-WSH;16
ST-ABM14420-16;5506-00-0067957PP;nárazník;51127332773;BMW | 5 (F10) [01\09-10\16] | 518 d (1995ccm\100kW\136HP) [07\13-10\16];1351;EBC06-24330;11
ST-ABM14420-17;5506-00-0067958PP;zadní nárazník;51127332764;BMW | 5 (F10) [01\09-10\16] | 518 d (1995ccm\100kW\136HP) [07\13-10\16];1351;BM04127BH;11
ST-ABM14550-28;5510-00-0062908PR;přední nárazník;51117256081;BMW | 3 cabrio (E93) [05\06-12\13] | 318 i (1995ccm\105kW\143HP) [03\10-12\13];6569;33-9945-WSH;79
ST-ABM14550-29;5510-00-0062908PP;přední nárazník;51117256080;BMW | 3 cabrio (E93) [05\06-12\13] | 318 i (1995ccm\105kW\143HP) [03\10-12\13];6569;33-9945-OSH;79
ST-ABM14560-18;5510-00-0063905PP;přední nárazník;51117293022;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];2189;BM04116BB;22
ST-ABM14560-28;5506-00-0063963P;zadní nárazník;51128056498;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];1362;33-8523-WSH;11
ST-ABM14560-29;5506-00-0063962P;zadní nárazník;51128056497;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];1362;33-8523-OSH;11
ST-ABM14560-30;5506-00-0063952P;nárazník;51127312727;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];1463;BM04093BD;12
ST-ABM14560-31;5506-00-0063950P;nárazník;51127312724;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];1463;BM04093BC;12
ST-ABM14570-6;5506-00-0063959BP;zadní nárazník;51127384599;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];1793;33-8555-OSH;14
ST-ABM14570-7;5506-00-0063959LP;zadní nárazník;51127384603;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];1350;33-8550-OSH;11
ST-ABM14580-10;5506-00-0064965P;zadní nárazník;51128099905;BMW | 3 (G20, G80, G28) [11\18-] | 318 d (1995ccm\100kW\136HP) [03\19-03\20];422;33-8570-WSWP-3;2
ST-ABM14580-11;5506-00-0064962P;zadní nárazník;51128099912;BMW | 3 Touring (G21, G81) [07\19-] | 316 d (1995ccm\85kW\116HP) [11\20-];299;33-8589-WSWP-3;1
ST-ABM14580-2;5506-00-0064951P;zadní nárazník;51125A69635;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\85kW\116HP) [11\20-];577;BM04340BA;5
ST-ABM14580-3;5506-00-0064952P;zadní nárazník;51125A69636;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\85kW\116HP) [11\20-];577;BM04340BB;5
ST-ABM14580-4;5510-00-0064906P;nárazník;51115A69618;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\85kW\116HP) [11\20-];889;BM04329BC;7
ST-ABM14580-5;5510-00-0064907P;přední nárazník;51115A69619;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\85kW\116HP) [11\20-];889;BM04329BD;7
ST-ABM14580-6;5510-00-0064902P;přední nárazník;51118099896;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\90kW\122HP) [03\20-07\20];785;33-99A01-WSWP-3;6
ST-ABM14670-2;5510-00-0093905NP;nárazník;51117389896;BMW | X3 (F25) [09\10-12\17] | sDrive 18 d (1995ccm\110kW\150HP) [04\14-08\17];2125;BM04143BFX;21
ST-ABM14680-7;5510-00-0086901P;přední nárazník;51118055147;BMW | 1 (F20) [07\11-06\19] | 114 d (1598ccm\70kW\95HP) [11\12-06\15];923;UBH02-23130;7
ST-ABM14680-9;5510-00-0086906P;nárazník;51117429715;BMW | 1 (F20) [07\11-06\19] | 114 d (1496ccm\70kW\95HP) [07\15-06\19];1351;BM04153BA;11
ST-ABM14700-2;5510-00-0070901P;nárazník;51118060877;BMW | 4 cabrio (F33, F83) [10\13-08\20] | 420 d (1995ccm\135kW\184HP) [10\13-06\15];2234;33-9948-OCOPWSOH-3;22
ST-ABM14700-3;5510-00-0070903P;nárazník;51118060879;BMW | 4 cabrio (F33, F83) [10\13-08\20] | 420 d (1995ccm\120kW\163HP) [11\13-07\20];1687;33-9948-OCOPWSWH-4;13
ST-ABM14700-4;5506-00-0070952P;zadní nárazník;51128062246;BMW | 4 Gran Coupe (F36) [03\14-05\21] | 418 d (1995ccm\105kW\143HP) [03\14-06\15];684;33-8541-WSH;5
ST-ABM14750-2;5510-00-0097901MP;přední nárazník;51118091971;BMW | X3 (G01, F97, G08) [07\17-] | sDrive 18 d (1995ccm\100kW\136HP) [04\18-06\20];836;33-9994-WSOC-2;7
ST-ABM14750-3;5506-00-0097959P;zadní nárazník;51128091992;BMW | X3 (G01, F97, G08) [07\17-] | sDrive 18 d (1995ccm\100kW\136HP) [04\18-06\20];836;33-8566-WSWP;7
ST-ABM14750-4;5510-00-0097912P;přední nárazník;51115A40FA9;BMW | X3 (G01, F97, G08) [07\17-] | sDrive 18 d Mild-Hybrid (1995ccm\100kW\136HP) [07\20-];310;33-99A43-WSH-2;1
ST-ABM14760;5510-00-0098900MP;přední nárazník;51118099125;BMW | X5 (G05, F95) [08\18-] | M (4395ccm\441kW\600HP) [12\19-03\23];964;33-99A38-WSH;8
ST-ABM14760-1;5506-00-0098952P;zadní nárazník;51115A0BD57;BMW | X5 (G05, F95) [08\18-] | sDrive 40 i (2998ccm\250kW\340HP) [08\19-03\23];1027;33-8593-WSH;8
ST-ABM14780-2;5510-00-0068904Q;nárazník;51117427440;BMW | 5 (G30, F90) [09\16-] | 518 d (1995ccm\100kW\136HP) [07\18-06\20];2851;BM04182BDX;29
ST-ABM14780-3;5510-00-0068902P;přední nárazník;51117427446;BMW | 5 (G30, F90) [09\16-] | 518 d (1995ccm\100kW\136HP) [07\18-06\20];2851;BM04182BEX;29
ST-ABM14780-4;5506-00-0068950PP;nárazník;51127475593;BMW | 5 (G30, F90) [09\16-] | 520 d (1995ccm\120kW\163HP) [09\16-06\23];1708;BM04187BCX;14
ST-ABM14780-5;5510-00-0072912LP;nárazník;51119852198;BMW | 5 (G30, F90) [09\16-] | 518 d Mild-Hybrid (1995ccm\100kW\136HP) [07\20-06\23];1156;BM04273BBX;9
ST-ABM14780-7;5506-00-0068953P;zadní nárazník;51128073725;BMW | 5 (G30, F90) [09\16-] | 518 d (1995ccm\100kW\136HP) [07\18-06\20];3417;33-8560WSWP;34
ST-ABM14790-5;5510-00-0073904P;přední nárazník;51115A0B7C9;BMW | 1 (F40) [07\19-] | 116 d (1496ccm\85kW\116HP) [07\19-];165;BM04258BDX;1
ST-ABM14790-6;5510-00-0073901P;nárazník;51119466835;BMW | 1 (F40) [07\19-] | 116 d (1496ccm\85kW\116HP) [07\19-];165;BM04258BBX;1
ST-ABM14790-7;5510-00-0073900P;přední nárazník;51119466831;BMW | 1 (F40) [07\19-] | 116 d (1496ccm\85kW\116HP) [07\19-];165;BM04258BAX;1
ST-ABM14810;5510-00-0082909P;nárazník;51117499445;BMW | X2 (F39) [11\17-10\23] | sDrive 16 d (1496ccm\85kW\116HP) [11\18-10\23];211;BM04212BAX;1
ST-ABM14820;5510-00-0070911MP;přední nárazník;51119854248;BMW | 4 cabrio (G23, G83) [11\20-] | 420 d Mild-Hybrid (1995ccm\120kW\163HP) [11\20-];20;33-99A34-WSH;1
ST-ABM16620-2;5510-00-0538904P;nárazník;1617535880;CITROËN | C4 Grand Picasso II (DA_, DE_) [06\13-] | 1.2 THP 130 (1199ccm\96kW\130HP) [04\14-];4032;CT04041BA;81
ST-ABM16670-2;5510-00-0532903P;přední nárazník;1628931580;CITROËN | C3 AIRCROSS II (2R_, 2C_) [06\17-] | 1.2 Puretech 110 (2RHNZB, 2RHNZW, 2RHNPX, 2RHNPJ) (1199ccm\81kW\110HP) [06\17-];1053;P1-C3A17S;17
ST-ABM16670-3;5506-00-0532957P;zadní nárazník;1632539780;CITROËN | C3 AIRCROSS II (2R_, 2C_) [06\17-] | 1.2 Puretech 110 (2RHNZB, 2RHNZW, 2RHNPX, 2RHNPJ) (1199ccm\81kW\110HP) [06\17-];1053;P2-C3A175-A;17
ST-ABM16670-4;5506-00-0532956Q;zadní nárazník;1628934580;CITROËN | C3 AIRCROSS II (2R_, 2C_) [06\17-] | 1.2 Puretech 110 (2RHNZB, 2RHNZW, 2RHNPX, 2RHNPJ) (1199ccm\81kW\110HP) [06\17-];1053;P2-C3A174-A;17
ST-ABM16740-6;5510-00-0533900P;přední nárazník;167373481T;CITROËN | C3 III (SX) [07\16-] | 1.2 PureTech 82 (1199ccm\61kW\83HP) [05\18-];4105;CT04047BCX;82
ST-ABM16740-8;5510-00-0544902P;přední nárazník;167373461T;CITROËN | C3 III (SX) [07\16-] | 1.2 PureTech 82 (1199ccm\61kW\83HP) [05\18-];4105;CT04047BBX;82
ST-ABM17130-3;5506-00-1303953P;zadní nárazník;850101610R;DACIA | LOGAN MCV II [02\13-] | 1.0 SCe 75 (998ccm\54kW\73HP) [12\16-];6147;P2-DA-LGW3;148
ST-ABM17220-1;5510-00-1307900P;přední nárazník;620103738Y;DACIA | SANDERO III [01\21-] | 1.0 SCe 65 (999ccm\49kW\67HP) [01\21-];488;DA04005BBX;4
ST-ABM17230;5506-00-1308950P;zadní nárazník;850108094V;DACIA | JOGGER (RK_) [09\21-] | 1.0 TCe 100 ECO-G (RKMT) (999ccm\74kW\101HP) [09\21-];345;P2-DA-JG1-P1;3
ST-ABM17230-1;5506-00-1308951P;zadní nárazník;850100011V;DACIA | JOGGER (RK_) [09\21-] | 1.0 TCe 100 ECO-G (RKMT) (999ccm\74kW\101HP) [09\21-];345;P2-DA-JG1-P2;3
ST-ABM17230-L;5508-00-1308961P;L roh zadního nárazníku;850103454V;DACIA | JOGGER (RK_) [09\21-] | 1.0 TCe 100 ECO-G (RKMT) (999ccm\74kW\101HP) [09\21-];345;PG-DA-JG11;3
ST-ABM17230-R;5508-00-1308962P;P roh zadního nárazníku;850102383V;DACIA | JOGGER (RK_) [09\21-] | 1.0 TCe 100 ECO-G (RKMT) (999ccm\74kW\101HP) [09\21-];345;PG-DA-JG12;3
ST-ABM18370-4;5506-00-2030955P;nárazník;735696809;FIAT | TIPO hatchback (357_) [03\16-] | 1.0 (357HXN1A) (999ccm\74kW\101HP) [11\20-];2043;FT04093BC;41
ST-ABM18370-5;5506-00-2030953P;nárazník;735652612;FIAT | TIPO hatchback (357_) [03\16-] | 1.3 D (356HXH1A) (1248ccm\70kW\95HP) [03\16-10\20];2007;FT04093BB;40
ST-ABM20106;5510-00-2594900Q;přední nárazník;2237793;FORD | ECOSPORT [09\11-12\22] | 1.0 EcoBoost (998ccm\103kW\140HP) [03\16-];1163;FD04542BEX;19
ST-ABM20108-1;5510-00-2517901Q;přední nárazník;2404367;FORD | TRANSIT V363 bus (FAD, FBD) [08\13-] | 2.0 EcoBlue (1995ccm\110kW\150HP) [10\21-];771;FD04608BBX;12
ST-ABM20108-1L;5506-00-2517963P;L roh zadního nárazníku;2426422;FORD | TRANSIT V363 bus (FAD, FBD) [08\13-] | 2.0 EcoBlue (1995ccm\110kW\150HP) [10\21-];1114;FD78A86HL;18
ST-ABM20108-1R;5506-00-2517964P;P roh zadního nárazníku;2426420;FORD | TRANSIT V363 bus (FAD, FBD) [08\13-] | 2.0 EcoBlue (1995ccm\110kW\150HP) [10\21-];1114;FD78A86HR;18
ST-ABM20110;5510-00-2596901Q;nárazník;2456434;FORD | KUGA III (DFK) [07\19-] | 1.5 EcoBlue (1499ccm\88kW\120HP) [07\19-];275;FD04595BBX;2
ST-ABM20110-1;5510-00-2596900Q;nárazník;2456426;FORD | KUGA III (DFK) [07\19-] | 1.5 EcoBlue (1499ccm\88kW\120HP) [07\19-];275;FD04595BAX;2
ST-ABM20111-1;5510-00-2595904Q;přední nárazník;2429119;FORD | PUMA (J2K, CF7) [09\19-] | 1.0 EcoBoost (999ccm\70kW\95HP) [09\19-];70;FD04621BB;1
ST-ABM20111-2;5510-00-2595905Q;přední nárazník;2429131;FORD | PUMA (J2K, CF7) [09\19-] | 1.0 EcoBoost (999ccm\70kW\95HP) [09\19-];70;FD04621BC;1
ST-ABM20111-3;5510-00-2595903Q;přední nárazník;2407265;FORD | PUMA (J2K, CF7) [09\19-] | 1.0 EcoBoost (999ccm\70kW\95HP) [09\19-];70;FD04621BA;1
ST-ABM20115;5510-00-2566906P;přední nárazník;2645296;FORD | FIESTA VII (HJ, HF) [05\17-] | 1.0 EcoBoost (998ccm\103kW\140HP) [06\17-];2329;FT-22270;47
ST-ABM20290;5510-00-2566909P;přední nárazník;2591200;FORD | FIESTA VII (HJ, HF) [05\17-] | 1.0 EcoBoost (998ccm\103kW\140HP) [06\17-];2329;071.53.9120;47
ST-ABM20790-1;5510-00-2592901P;nárazník;2335604;FORD | KA+ III (UK, FK) [08\14-] | 1.2 (1194ccm\51kW\69HP) [02\18-];236;FD04571BB;2
ST-ABM20800-1;5510-00-2537904P;přední nárazník;2228994;FORD | FOCUS IV (HN) [01\18-] | 1.0 EcoBoost (998ccm\63kW\85HP) [05\18-];2218;FD04577BA;44
ST-ABM20800-2;5510-00-2537905P;nárazník;2240391;FORD | FOCUS IV (HN) [01\18-] | 1.0 EcoBoost (998ccm\63kW\85HP) [05\18-];2195;FD04577BB;44
ST-ABM20800-5;5506-00-2537951Q;nárazník;2195851;FORD | FOCUS IV (HN) [01\18-] | 1.0 EcoBoost (998ccm\63kW\85HP) [05\18-];525;FD04559BB;8
